OGNTsort	CUV
000192	｛4＃亞比玉｜197｝
000193	
000194	｛5＃生｜199｝
000195	
000196	｛6＃以利亞敬；｜201｝
000197	｛7＃以利亞敬｜202｝
000198	
000199	｛8＃生｜204｝
000200	
000201	｛9＃亞所；｜206｝
000202	｛1＃亞所｜207｝
000203	
000204	｛2＃生｜209｝
000205	
000206	｛3＃撒督；｜211｝
000207	｛4＃撒督｜212｝
000208	
000209	｛5＃生｜214｝
000210	
000211	｛6＃亞金；｜216｝
000212	｛7＃亞金｜217｝
000213	
000214	｛8＃生｜219｝
000215	
000216	｛9＃以律；｜221｝
000217	｛1＃以律｜222｝
000218	
000219	｛2＃生｜224｝
000220	
000221	｛3＃以利亞撒；｜226｝
000222	｛4＃以利亞撒｜227｝
000223	
000224	｛5＃生｜229｝
000225	
000226	｛6＃馬但；｜231｝
000227	｛7＃馬但｜232｝
000228	
000229	｛8＃生｜234｝
000230	
000231	｛9＃雅各；｜236｝
000232	｛1＃雅各｜237｝
000233	
000234	｛2＃生｜239｝
000235	
000236	｛3＃約瑟，｜241｝
000237	
000238	｛5＃丈夫；｜243｝
000239	｛4＃就是馬利亞的｜244｝
000240	｛10＃是從｜245｝
000241	｛11＃馬利亞｜246｝
000242	｛12＃生的。｜247｝
000243	｛9＃耶穌，｜248｝
000244	｛6＃那｜249｝
000245	｛7＃稱為｜250｝
000246	｛8＃基督的｜251｝
000247	｛6＃共有｜253｝
000248	｛1＃這樣，｜254｝
000249	
000250	
000251	｛2＃從｜257｝
000252	｛3＃亞伯拉罕｜258｝
000253	｛4＃到｜259｝
000254	｛5＃大衛，｜260｝
000255	｛8＃代；｜261｝
000256	｛7＃十四｜262｝
000257	
000258	｛9＃從｜264｝
000259	｛10＃大衛｜265｝
000260	｛11＃到｜266｝
000261	
000262	｛12＃遷至｜268｝
000263	｛13＃巴比倫的時候，｜269｝
000264	｛15＃代；｜270｝
000265	｛14＃也有十四｜271｝
000266	
000267	｛16＃從｜273｝
000268	
000269	｛17＃遷至｜275｝
000270	｛18＃巴比倫的時候｜276｝
000271	｛19＃到｜277｝
000272	
000273	｛20＃基督，｜279｝
000274	｛22＃代。｜280｝
000275	｛21＃又有十四｜281｝
000276	
000277	｛5＃事，｜283｝
000278	｛1＃耶穌｜284｝
000279	｛2＃基督｜285｝
000280	｛4＃的｜286｝
000281	｛3＃降生｜287｝
000282	｛7＃下面：｜288｝
000283	｛6＃記在｜289｝
000284	｛11＃已經許配了｜290｝
000285	
000286	｛9＃母親｜292｝
000287	｛8＃他｜293｝
000288	｛10＃馬利亞｜294｝
000289	
000290	｛12＃約瑟，｜296｝
000291	｛13＃還沒有｜297｝
000292	
000293	｛14＃迎娶，｜299｝〈15＊馬利亞｜309〉
000294	
000295	｛16＃就｜301｝
000296	
000297	｛21＃孕。｜303｝
000298	｛20＃懷了｜304｝
000299	｛17＃從｜305｝
000300	｛19＃靈｜306｝
000301	｛18＃聖｜307｝
000302	｛3＃約瑟｜310｝
000303	
000304	
000305	｛2＃丈夫｜313｝
000306	｛1＃他｜314｝
000307	｛5＃義人，｜315｝
000308	｛4＃是個｜316｝
000309	
000310	｛6＃不｜318｝
000311	｛7＃願意｜319｝
000312	｛9＃他，｜320｝
000313	｛8＃明明的羞辱｜321｝
000314	｛10＃想要｜322｝
000315	｛11＃暗暗的｜323｝
000316	｛13＃休了。｜324｝
000317	｛12＃把他｜325｝
000318	｛3＃這事的時候，｜326｝
000319	｛1＃正｜327｝
000320	
000321	｛2＃思念｜329｝
000322	
000323	｛5＃使者｜331｝
000324	｛4＃有主的｜332｝
000325	｛8＃中｜333｝
000326	｛7＃夢｜334｝
000327	｛9＃顯現，｜335｝
000328	｛6＃向他｜336｝
000329	｛10＃說，｜337｝
000330	｛13＃約瑟，｜338｝
000331	｛12＃子孫｜339｝
000332	｛11＃大衛的｜340｝
000333	｛14＃不要｜341｝
000334	｛15＃怕，｜342｝
000335	｛16＃只管娶過｜343｝
000336	｛19＃馬利亞｜344｝〈20＊來，｜358〉
000337	
000338	｛18＃妻子｜346｝
000339	｛17＃你的｜347｝
000340	
000341	｛21＃因｜349｝
000342	｛23＃所｜350｝
000343	｛22＃他｜351｝
000344	｛24＃懷的孕，｜352｝
000345	｛26＃從｜353｝
000346	｛28＃靈｜354｝〈29＊來的。｜359〉
000347	｛25＃是｜355｝
000348	｛27＃聖｜356｝
000349	｛1＃他將要生｜360｝
000350	
000351	｛2＃一個兒子，｜362｝
000352	
000353	｛5＃叫｜364｝
000354	
000355	｛4＃起名｜366｝
000356	｛3＃你要給他｜367｝
000357	｛6＃耶穌，｜368｝
000358	｛8＃他｜369｝〈9＊要｜379〉
000359	｛7＃因｜370｝
000360	｛16＃救出來。｜371｝
000361	｛10＃將｜372｝
000362	｛12＃百姓｜373｝
000363	｛11＃自己的｜374｝
000364	｛13＃從｜375｝
000365	
000366	｛14＃罪惡｜377｝〈15＊裏｜380〉
000367	
000368	｛1＃這｜381｝
000369	
000370	｛2＃一切的｜383｝〈3＊事｜395〉
000371	｛4＃成就，｜384｝
000372	｛5＃是要｜385｝
000373	｛6＃應驗｜386｝
000374	
000375	｛11＃說的話，｜388｝
000376	｛10＃所｜389｝
000377	｛7＃主｜390｝
000378	｛8＃藉｜391｝
000379	
000380	｛9＃先知｜393｝
000381	
000382	
000383	
000384	｛3＃童女｜398｝
000385	
000386	｛4＃懷孕｜400｝
000387	〈1＊說，｜418〉｛2＃必有｜401｝
000388	
000389	｛5＃生｜403｝
000390	｛6＃子，｜404｝
000391	
000392	｛7＃人要稱｜406｝
000393	
000394	｛9＃名｜408｝〈10＊為｜419〉
000395	｛8＃他的｜409｝
000396	｛11＃以馬內利。｜410｝
000397	｛12＃以馬內利｜411｝
000398	｛14＃就是｜412｝
000399	｛13＃繙出來｜413｝
000400	｛18＃同在。｜414｝
000401	｛17＃我們｜415｝
000402	
000403	｛15＃神｜417｝〈16＊與｜420〉
000404	｛4＃起來，｜421｝
000405	
000406	
000407	｛1＃約瑟｜424｝
000408	｛2＃醒｜425｝
000409	
000410	｛3＃了，｜427｝
000411	｛6＃遵着｜428｝
000412	｛5＃就｜429｝
000413	｛9＃吩咐，｜430｝
000414	
000415	
000416	｛8＃使者的｜433｝
000417	｛7＃主｜434｝
000418	｛10＃把｜435｝
000419	｛12＃娶過來；｜436｝
000420	
000421	｛11＃妻子｜438｝
000422	
000423	｛1＃只是｜442｝
000424	｛2＃沒有｜443｝
000425	｛4＃同房，｜444｝
000426	｛3＃和他｜445｝
000427	｛5＃等｜446｝
000428	
000429	｛6＃他生了｜448｝
000430	｛7＃兒子，〔有古卷作等他生了頭胎的兒子〕｜449｝
000431	｛8＃就｜450｝
000432	｛11＃叫｜451｝
000433	
000434	｛10＃起名｜453｝
000435	｛9＃給他｜454｝
000436	｛12＃耶穌。｜455｝
000437	
000438	
000439	｛5＃耶穌｜462｝
000440	｛6＃生｜463｝
000441	｛1＃當｜464｝
000442	｛10＃伯利恆；｜465｝
000443	｛9＃的｜466｝
000444	｛8＃猶太｜467｝
000445	｛7＃在｜468｝
000446	｛4＃的時候，｜469｝
000447	｛2＃希律｜470｝
000448	
000449	｛3＃王｜472｝
000450	
000451	｛11＃有幾個博士｜474｝
000452	｛12＃從｜475｝
000453	｛13＃東方｜476｝
000454	｛14＃來｜477｝
000455	｛15＃到｜478｝
000456	｛16＃耶路撒冷，｜479｝〈17＊說，｜481〉
000457	
000458	｛7＃在那裏。｜483｝〈8＊我們｜502〉
000459	｛3＃作｜484｝
000460	｛1＃那｜485｝
000461	｛2＃生下來｜486｝
000462	｛5＃王｜487｝
000463	｛6＃的｜488｝
000464	｛4＃猶太人之｜489｝
000465	｛11＃看見｜490｝
000466	
000467	｛12＃他的｜492｝
000468	
000469	｛13＃星，｜494｝
000470	｛9＃在｜495｝
000471	
000472	｛10＃東方｜497｝
000473	｛14＃特｜498｝
000474	｛15＃來｜499｝
000475	｛16＃拜｜500｝
000476	｛17＃他。｜501｝
000477	｛3＃聽見了｜503｝
000478	｛4＃就｜504｝
000479	
000480	｛2＃王｜506｝
000481	｛1＃希律｜507｝
000482	｛5＃心裏不安；｜508｝
000483	
000484	｛7＃合城的人｜510｝
000485	｛6＃耶路撒冷｜511｝
000486	｛8＃也都｜512｝
000487	｛9＃不安。｜513｝
000488	｛1＃他就｜514｝
000489	｛2＃召｜515｝
000490	｛3＃齊了｜516｝
000491	
000492	｛4＃祭司長｜518｝
000493	｛5＃和｜519｝
000494	｛8＃文士，｜520｝
000495	｛7＃的｜521｝
000496	｛6＃民間｜522｝
000497	｛9＃問｜523｝
000498	
000499	｛10＃他們說，｜525｝
000500	｛13＃在何處。｜526｝
000501	
000502	｛11＃基督｜528｝
000503	｛12＃當生｜529｝
000504	｛1＃他們｜530｝〈2＊回答｜544〉
000505	
000506	｛3＃說，｜532｝
000507	
000508	｛4＃在｜534｝
000509	｛7＃伯利恆，｜535｝
000510	｛6＃的｜536｝
000511	｛5＃猶太｜537｝
000512	
000513	｛8＃因為｜539｝
000514	｛11＃記着｜540｝〈12＊說，｜545〉
000515	｛9＃有｜541｝
000516	
000517	｛10＃先知｜543｝
000518	
000519	
000520	｛3＃伯利恆阿，｜548｝
000521	｛2＃地的｜549｝
000522	｛1＃猶大｜550｝
000523	｛9＃並不是｜551｝
000524	｛10＃最小的；｜552｝
000525	｛4＃你｜553｝
000526	｛5＃在｜554｝
000527	
000528	｛7＃諸城｜556｝〈8＊中｜570〉
000529	｛6＃猶大｜557｝
000530	｛14＃要從｜558｝
000531	｛15＃你｜559｝〈16＊那裏｜572〉
000532	｛11＃因為｜560｝〈12＊將來有｜573〉
000533	｛17＃出來，｜561｝
000534	｛13＃一位君王，｜562｝
000535	
000536	｛18＃牧養｜564｝
000537	
000538	｛21＃民。｜566｝
000539	｛19＃我｜567｝
000540	
000541	｛20＃以色列｜569｝
000542	｛1＃當下｜574｝
000543	｛2＃希律｜575｝
000544	｛3＃暗暗的｜576｝
000545	｛4＃召了｜577｝
000546	
000547	｛5＃博士｜579｝〈6＊來，｜588〉
000548	｛7＃細問｜580｝
000549	
000550	
000551	｛12＃的。｜583｝
000552	｛10＃是甚麼時候｜584｝
000553	｛8＃那｜585｝
000554	｛11＃出現｜586｝
000555	｛9＃星｜587｝
000556	｛1＃就｜589｝
000557	｛2＃差｜590｝
000558	｛3＃他們｜591｝
000559	｛4＃往｜592｝
000560	｛5＃伯利恆｜593｝〈6＊去，｜611〉
000561	｛7＃說，｜594｝
000562	｛8＃你們去｜595｝
000563	｛10＃尋訪｜596｝
000564	｛9＃仔細｜597｝
000565	
000566	｛11＃那｜599｝
000567	｛12＃小孩子；｜600｝
000568	
000569	
000570	｛14＃尋到了，｜603｝
000571	｛15＃就來報信，｜604｝
000572	
000573	｛17＃好｜606｝
000574	｛16＃我也｜607｝
000575	｛18＃去｜608｝
000576	｛19＃拜｜609｝
000577	｛20＃他。｜610｝
000578	
000579	｛4＃話｜613｝
000580	〈1＊他們｜637〉｛2＃聽見｜614｝
000581	
000582	｛3＃王的｜616｝
000583	｛5＃就去了；｜617｝
000584	
000585	｛12＃忽然｜619｝〈13＊在｜639〉
000586	｛10＃那｜620｝
000587	｛11＃星，｜621｝
000588	｛8＃所｜622｝
000589	｛9＃看見的｜623｝
000590	｛6＃在｜624｝
000591	
000592	｛7＃東方｜626｝
000593	｛15＃前頭行，｜627｝〈16＊直｜640〉
000594	｛14＃他們｜628｝
000595	｛18＃到｜629｝
000596	｛17＃行｜630｝
000597	｛23＃停住了。｜631｝
000598	｛22＃就在上頭｜632｝
000599	｛21＃地方，｜633｝
000600	｛20＃的，｜634｝
000601	
000602	｛19＃小孩子｜636｝
000603	｛1＃他們看見｜641｝
000604	
000605	｛2＃那｜643｝
000606	｛3＃星，｜644｝〈4＊就｜649〉
000607	｛7＃歡｜645｝
000608	｛8＃喜。｜646｝
000609	｛5＃大｜647｝
000610	｛6＃大的｜648｝
000611	
000612	｛1＃進｜651｝
000613	｛2＃了｜652｝
000614	
000615	｛3＃房子，｜654｝
000616	｛4＃看見｜655｝
000617	
000618	｛5＃小孩子｜657｝
000619	｛6＃和｜658｝
000620	｛9＃馬利亞，｜659｝
000621	
000622	｛8＃母親｜661｝
000623	｛7＃他｜662｝
000624	｛10＃就｜663｝
000625	｛11＃俯伏｜664｝
000626	｛12＃拜｜665｝
000627	｛21＃他。｜666｝
000628	
000629	｛14＃揭開｜668｝
000630	
000631	｛15＃寶盒，｜670｝
000632	
000633	｛20＃獻給｜672｝
000634	｛13＃那小孩子，｜673｝
000635	｛19＃為禮物｜674｝
000636	｛16＃拿黃金｜675｝
000637	
000638	｛17＃乳香｜677｝
000639	
000640	｛18＃沒藥｜679｝
000641	〈1＊博士｜696〉｛2＃因為｜680｝
000642	｛5＃被主指示，｜681｝
000643	｛3＃在｜682｝
000644	｛4＃夢中｜683｝
000645	｛6＃不要｜684｝
000646	｛7＃回去｜685｝
000647	｛8＃見｜686｝
000648	｛9＃希律，｜687｝
000649	｛10＃就｜688｝
000650	｛12＃別的｜689｝
000651	｛13＃路｜690｝
000652	｛14＃回｜691｝
000653	｛11＃從｜692｝
000654	
000655	｛16＃地｜694｝〈17＊去了。｜697〉
000656	｛15＃本｜695｝
000657	｛2＃去後，｜698｝
000658	
000659	｛1＃他們｜700｝
000660	｛3＃有｜701｝
000661	｛5＃使者｜702｝
000662	｛4＃主的｜703｝
000663	｛10＃顯現，｜704｝
000664	｛9＃中｜705｝
000665	｛8＃夢｜706｝
000666	｛6＃向｜707｝
000667	｛7＃約瑟｜708｝
000668	｛11＃說，｜709｝
000669	｛12＃起來，｜710｝
000670	｛13＃帶着｜711｝
000671	
000672	｛14＃小孩子｜713｝
000673	｛15＃同｜714｝
000674	
000675	｛17＃母親，｜716｝
000676	｛16＃他｜717｝
000677	
000678	｛18＃逃｜719｝
000679	｛19＃往｜720｝
000680	｛20＃埃及，｜721｝
000681	
000682	｛21＃住在｜723｝
000683	｛22＃那裏，｜724｝
000684	｛23＃等｜725｝
000685	
000686	｛24＃我吩咐｜727｝
000687	｛25＃你；｜728｝
000688	｛28＃必｜729｝
000689	｛26＃因為｜730｝
000690	｛27＃希律｜731｝
000691	｛29＃尋找｜732｝
000692	
000693	｛30＃小孩子｜734｝
000694	
000695	｛31＃要除滅｜736｝
000696	｛32＃他。｜737｝
000697	｛1＃約瑟｜739｝
000698	｛2＃就｜740｝
000699	｛3＃起來｜741｝
000700	｛5＃帶着｜742｝
000701	
000702	｛6＃小孩子｜744｝
000703	｛7＃和｜745｝
000704	
000705	｛9＃母親｜747｝
000706	｛8＃他｜748｝
000707	｛4＃夜間｜749｝
000708	
000709	｛12＃去。｜751｝
000710	｛10＃往｜752｝
000711	｛11＃埃及｜753｝
000712	
000713	｛1＃住在｜755｝
000714	｛2＃那裏，｜756｝
000715	｛3＃直到｜757｝
000716	
000717	｛5＃死了。｜759｝
000718	｛4＃希律｜760｝
000719	｛6＃這是要｜761｝
000720	｛7＃應驗｜762｝
000721	
000722	｛12＃說的話｜764｝
000723	｛11＃所｜765｝
000724	｛8＃主｜766｝
000725	｛9＃藉｜767｝
000726	
000727	｛10＃先知｜769｝
000728	｛13＃說，｜770｝〈14＊我｜777〉
000729	｛15＃從｜771｝
000730	｛16＃埃及｜772｝
000731	｛17＃召出｜773｝
000732	
000733	｛19＃兒子｜775｝〈20＊來。｜778〉
000734	｛18＃我的｜776｝
000735	
000736	｛1＃希律｜780｝
000737	｛2＃見自己｜781｝
000738	
000739	｛5＃愚弄，｜783｝〈6＊就｜816〉
000740	｛3＃被｜784｝
000741	
000742	｛4＃博士｜786｝
000743	｛8＃發怒，｜787｝
000744	｛7＃大大｜788｝
000745	
000746	｛9＃差人｜790｝
000747	｛27＃都殺盡了。｜791｝
000748	｛14＃四｜792｝
000749	
000750	｛17＃男孩，｜794｝
000751	
000752	｛10＃將｜796｝
000753	｛11＃伯利恆｜797｝
000754	｛13＃並｜798｝
000755	
000756	｛16＃所有的｜800｝
000757	
000758	｛15＃境｜802｝
000759	｛12＃城裏，｜803｝
000760	｛24＃凡｜804｝
000761	｛25＃兩歲｜805｝
000762	
000763	｛26＃以裏的，｜807｝
000764	｛18＃照着｜808｝
000765	｛22＃的｜809｝
000766	｛23＃時候，｜810｝
000767	
000768	｛21＃仔細查問｜812｝
000769	｛19＃他向｜813｝
000770	
000771	｛20＃博士｜815｝
000772	｛1＃這就｜817｝
000773	｛2＃應了｜818｝
000774	｛5＃的｜819｝
000775	｛6＃話，｜820｝
000776	
000777	｛4＃耶利米｜822｝
000778	
000779	｛3＃先知｜824｝
000780	｛7＃說，｜825｝
000781	｛7＃聲音，｜826｝
000782	｛1＃在｜827｝
000783	｛2＃拉瑪｜828｝
000784	｛3＃聽見｜829｝
000785	｛4＃號咷｜830｝
000786	
000787	｛6＃哭的｜832｝
000788	｛5＃大｜833｝
000789	｛9＃拉結｜834｝
000790	｛10＃哭｜835｝
000791	｛8＃是｜836｝
000792	｛12＃兒女，｜837｝
000793	｛11＃他｜838｝
000794	
000795	｛13＃不｜840｝
000796	｛14＃肯｜841｝
000797	｛15＃受安慰，｜842｝
000798	｛16＃因為｜843｝〈17＊他們都｜846〉
000799	｛18＃不｜844｝
000800	｛19＃在了。｜845｝
000801	｛2＃死了｜848｝〈3＊以後，｜862〉
000802	
000803	
000804	｛1＃希律｜851｝
000805	｛4＃有｜852｝
000806	｛6＃使者｜853｝
000807	｛5＃主的｜854｝
000808	｛13＃顯現，｜855｝〈14＊說，｜864〉
000809	｛12＃中｜856｝
000810	｛11＃夢｜857｝
000811	｛9＃向｜858｝
000812	｛10＃約瑟｜859｝
000813	｛7＃在｜860｝
000814	｛8＃埃及｜861｝
000815	
000816	｛1＃起來，｜866｝
000817	｛2＃帶着｜867｝
000818	
000819	｛3＃小孩子｜869｝
000820	｛4＃和｜870｝
000821	
000822	｛6＃母親｜872｝
000823	｛5＃他｜873｝
000824	
000825	｛10＃去；｜875｝
000826	｛7＃往｜876｝
000827	｛9＃地｜877｝
000828	｛8＃以色列｜878｝
000829	｛16＃已經死了。｜879｝
000830	｛11＃因為｜880｝
000831	
000832	｛12＃要害｜882｝
000833	
000834	｛14＃性命｜884｝
000835	｛15＃的人｜885｝
000836	｛13＃小孩子｜886｝
000837	｛1＃約瑟｜887｝
000838	｛2＃就｜888｝
000839	｛3＃起來｜889｝
000840	｛4＃把｜890｝
000841	
000842	｛5＃小孩子｜892｝
000843	｛6＃和｜893｝
000844	
000845	｛8＃母親｜895｝
000846	｛7＃他｜896｝
000847	
000848	｛9＃帶｜898｝
000849	｛10＃到｜899｝
000850	｛12＃地去。｜900｝
000851	｛11＃以色列｜901｝
000852	｛3＃聽見｜902｝
000853	｛1＃只｜903｝
000854	｛2＃因｜904｝
000855	｛4＃亞基老｜905｝
000856	｛9＃作了｜906｝
000857	
000858	｛10＃猶太｜908｝〈11＊王，｜927〉
000859	｛5＃接着｜909｝
000860	
000861	｛7＃父親｜911｝
000862	｛6＃他｜912｝
000863	｛8＃希律｜913｝
000864	｛12＃就怕｜914｝
000865	｛14＃那裏｜915｝〈15＊去；｜928〉
000866	｛13＃往｜916｝
000867	｛20＃被主指示，｜917｝
000868	｛16＃又｜918｝〈17＊在｜929〉
000869	｛19＃中｜919｝
000870	｛18＃夢｜920｝
000871	｛24＃去了。｜921｝
000872	｛21＃便往｜922｝
000873	
000874	｛23＃境內｜924｝
000875	
000876	｛22＃加利利｜926｝
000877	｛5＃就｜930｝
000878	｛1＃到了｜931｝
000879	｛6＃住｜932｝
000880	｛7＃在那裏；｜933｝
000881	｛2＃一座城，｜934｝
000882	｛3＃名叫｜935｝
000883	｛4＃拿撒勒，｜936｝
000884	｛8＃這是｜937｝
000885	｛9＃要應驗｜938｝
000886	
000887	｛11＃所說，｜940｝
000888	
000889	
000890	｛10＃先知｜943｝
000891	
000892	｛13＃拿撒勒人｜945｝〈14＊的話了。｜947〉
000893	｛12＃他將稱為｜946｝
000894	
000895	｛3＃有｜949｝
000896	｛1＃那｜950｝
000897	｛2＃時，｜951｝
000898	
000899	｛6＃出來，｜953｝
000900	｛5＃約翰｜954｝
000901	
000902	｛4＃施洗的｜956｝
000903	｛10＃傳道，｜957｝〈11＊說，｜963〉
000904	｛7＃在｜958｝
000905	
000906	｛9＃曠野｜960｝
000907	
000908	｛8＃猶太的｜962｝
000909	
000910	
000911	｛4＃你們應當悔改。｜966｝
000912	｛3＃近了，｜967｝
000913	
000914	
000915	｛2＃國｜970｝
000916	
000917	｛1＃天｜972｝
000918	｛1＃這人｜973｝
000919	｛2＃就｜974｝
000920	｛3＃是｜975｝
000921	
000922	｛6＃所說的，｜977｝
000923	
000924	｛5＃以賽亞｜979｝
000925	
000926	｛4＃先知｜981｝
000927	｛7＃他說，｜982｝
000928	｛10＃有人聲｜983｝
000929	｛11＃喊着說，｜984｝
000930	｛8＃在｜985｝
000931	
000932	｛9＃曠野｜987｝
000933	｛12＃豫備｜988｝
000934	
000935	｛14＃道，｜990｝
000936	｛13＃主的｜991｝
000937	｛16＃直｜992｝
000938	｛15＃修｜993｝
000939	
000940	｛18＃路。｜995｝
000941	｛17＃他的｜996｝
000942	
000943	
000944	｛1＃這｜999｝
000945	｛2＃約翰｜1000｝
000946	｛3＃身穿｜1001｝
000947	
000948	｛6＃衣服，｜1003｝
000949	
000950	
000951	｛5＃毛的｜1006｝
000952	｛4＃駱駝｜1007｝
000953	
000954	｛10＃帶，｜1009｝
000955	｛9＃皮｜1010｝
000956	｛8＃束｜1011｝
000957	
000958	｛7＃腰｜1013｝
000959	
000960	
000961	
000962	｛11＃喫的｜1017｝
000963	｛12＃是｜1018｝
000964	
000965	｛13＃蝗蟲｜1020｝
000966	
000967	｛15＃蜜。｜1022｝
000968	｛14＃野｜1023｝
000969	｛1＃那時，｜1024｝
000970	｛10＃都出去｜1025｝
000971	｛11＃到｜1026｝
000972	｛12＃約翰那裏。｜1027｝
000973	｛2＃耶路撒冷｜1028｝
000974	｛3＃和｜1029｝
000975	｛5＃全地，｜1030｝
000976	
000977	｛4＃猶太｜1032｝
000978	｛6＃並｜1033｝
000979	
000980	
000981	｛8＃一帶地方｜1036｝
000982	｛9＃的人，｜1037｝
000983	｛7＃約但河｜1038｝
000984	
000985	｛9＃洗。｜1040｝
000986	｛4＃在｜1041｝
000987	
000988	｛5＃約但｜1043｝
000989	｛6＃河裏｜1044｝
000990	｛7＃受｜1045｝
000991	｛8＃他的｜1046｝
000992	｛1＃承認｜1047｝
000993	
000994	｛3＃罪，｜1049｝
000995	｛2＃他們的｜1050｝
000996	｛2＃看見｜1051｝
000997	｛1＃約翰｜1052｝
000998	｛3＃許多｜1053｝
000999	
001000	｛4＃法利賽人｜1055｝
001001	｛5＃和｜1056｝
001002	｛6＃撒都該人，｜1057｝
001003	｛7＃也來｜1058｝
